                          table_name                          | table_size | indexes_size | total_size 
 "pg_catalog"."pg_prepared_xacts"                             | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_all_indexes"                         | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_available_extension_versions"               | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_available_extensions"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_replication_origin_status"                  | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_cursors"                                    | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_locks"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_publication_tables"                         | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stats"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_sequences"                                  | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_indexes"                                    | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_tables"                                     | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_config"                                     | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_hba_file_rules"                             | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_file_settings"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_views"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_rules"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_policies"                                   | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_user"                                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_settings"                                   | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_roles"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_shadow"                                     | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_xact_sys_tables"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_user_tables"                           | 0 bytes    | 0 bytes      | 0 bytes
(229 rows)

